epoch: 1, lr: 1.00e+00 - train loss: 2.56e-01 - valid loss: 3.00e-01, valid summary: {'TP': 605994.0, 'TN': 258579.0, 'FP': 65342.0, 'FN': 36085.0, 'FAR': 0.20172202481468623, 'FRR': 0.05620024950200744, 'DER': 0.11731455874749597, 'threshold': 0.5, 'precision': 0.9026687083665869, 'recall': 0.9437997504979769, 'F-score': 0.9227761217893811, 'MCC': 0.7609036596393057}
epoch: 2, lr: 9.91e-01 - train loss: 1.86e-01 - valid loss: 2.87e-01, valid summary: {'TP': 608155.0, 'TN': 267194.0, 'FP': 56727.0, 'FN': 33924.0, 'FAR': 0.17512603381688205, 'FRR': 0.05283462003896634, 'DER': 0.10355983727633089, 'threshold': 0.5, 'precision': 0.9146811013081882, 'recall': 0.947165379961018, 'F-score': 0.9306398584196468, 'MCC': 0.7868873670356379}
epoch: 3, lr: 9.82e-01 - train loss: 1.69e-01 - valid loss: 2.64e-01, valid summary: {'TP': 609337.0, 'TN': 272134.0, 'FP': 51787.0, 'FN': 32742.0, 'FAR': 0.15987540171831527, 'FRR': 0.050993725071213185, 'DER': 0.09589538396611919, 'threshold': 0.5, 'precision': 0.921668249829065, 'recall': 0.9490062749287712, 'F-score': 0.935137503520173, 'MCC': 0.801603748546153}
epoch: 4, lr: 9.73e-01 - train loss: 1.58e-01 - valid loss: 2.73e-01, valid summary: {'TP': 615899.0, 'TN': 265912.0, 'FP': 58009.0, 'FN': 26180.0, 'FAR': 0.17908378894853438, 'FRR': 0.04077379886275613, 'DER': 0.09547283941796943, 'threshold': 0.5, 'precision': 0.9139214848317438, 'recall': 0.9592262011372282, 'F-score': 0.936025963782317, 'MCC': 0.8019135224059453}
epoch: 5, lr: 9.64e-01 - train loss: 1.52e-01 - valid loss: 2.75e-01, valid summary: {'TP': 620273.0, 'TN': 257476.0, 'FP': 66445.0, 'FN': 21806.0, 'FAR': 0.20512717607070227, 'FRR': 0.0339615530176188, 'DER': 0.10054241018787717, 'threshold': 0.5, 'precision': 0.9032426702081363, 'recall': 0.9660384469823656, 'F-score': 0.9335857922617224, 'MCC': 0.7923865840060127}
epoch: 6, lr: 9.55e-01 - train loss: 1.49e-01 - valid loss: 2.54e-01, valid summary: {'TP': 611125.0, 'TN': 274112.0, 'FP': 49809.0, 'FN': 30954.0, 'FAR': 0.1537689745339094, 'FRR': 0.04820902100831754, 'DER': 0.09123319517823937, 'threshold': 0.5, 'precision': 0.924638466170587, 'recall': 0.9517909789916669, 'F-score': 0.9380182699635383, 'MCC': 0.8104994067110781}
epoch: 7, lr: 9.45e-01 - train loss: 1.45e-01 - valid loss: 2.51e-01, valid summary: {'TP': 614300.0, 'TN': 269985.0, 'FP': 53936.0, 'FN': 27779.0, 'FAR': 0.16650973539844077, 'FRR': 0.04326414662370139, 'DER': 0.09240799063650189, 'threshold': 0.5, 'precision': 0.9192860007542107, 'recall': 0.956735853376283, 'F-score': 0.9376371330557919, 'MCC': 0.8079121426669357}
epoch: 8, lr: 9.36e-01 - train loss: 1.44e-01 - valid loss: 2.53e-01, valid summary: {'TP': 597341.0, 'TN': 285629.0, 'FP': 38292.0, 'FN': 44738.0, 'FAR': 0.1182140089713196, 'FRR': 0.06967678432093138, 'DER': 0.09403490492315601, 'threshold': 0.5, 'precision': 0.9397576903653375, 'recall': 0.9303232156790531, 'F-score': 0.9350166547704021, 'MCC': 0.8082145624737541}
epoch: 9, lr: 9.27e-01 - train loss: 1.42e-01 - valid loss: 2.57e-01, valid summary: {'TP': 617208.0, 'TN': 265811.0, 'FP': 58110.0, 'FN': 24871.0, 'FAR': 0.17939559336998281, 'FRR': 0.03873510891961832, 'DER': 0.09397419534573895, 'threshold': 0.5, 'precision': 0.9139516494451367, 'recall': 0.9612648910803661, 'F-score': 0.9370113944391858, 'MCC': 0.8047939673614285}
epoch: 10, lr: 9.18e-01 - train loss: 1.40e-01 - valid loss: 2.51e-01, valid summary: {'TP': 608168.0, 'TN': 279462.0, 'FP': 44459.0, 'FN': 33911.0, 'FAR': 0.13725260171461137, 'FRR': 0.052814373309202564, 'DER': 0.08829129254306312, 'threshold': 0.5, 'precision': 0.9318768607489281, 'recall': 0.9471856266907819, 'F-score': 0.9394688832831546, 'MCC': 0.8167696408207853}
epoch: 11, lr: 9.09e-01 - train loss: 1.40e-01 - valid loss: 2.52e-01, valid summary: {'TP': 617019.0, 'TN': 267112.0, 'FP': 56809.0, 'FN': 25060.0, 'FAR': 0.17537918196102828, 'FRR': 0.0390294652215687, 'DER': 0.09259826880858049, 'threshold': 0.5, 'precision': 0.9156921350849042, 'recall': 0.9609705347784157, 'F-score': 0.9377851170333465, 'MCC': 0.8074518914388278}
