epoch: 1, lr: 1.00e+00 - train loss: 3.29e-01 - valid loss: 3.40e-01, valid summary: {'TP': 569376.0, 'TN': 263276.0, 'FP': 60645.0, 'FN': 72703.0, 'FAR': 0.18722157563108946, 'FRR': 0.11323061492432998, 'DER': 0.16014853744421245, 'threshold': 0.5, 'precision': 0.9037413038612855, 'recall': 0.8867693850756544, 'F-score': 0.8951749076330477, 'MCC': 0.6934219849068387}
epoch: 2, lr: 9.91e-01 - train loss: 2.81e-01 - valid loss: 3.18e-01, valid summary: {'TP': 587860.0, 'TN': 258978.0, 'FP': 64943.0, 'FN': 54219.0, 'FAR': 0.20049024299134047, 'FRR': 0.08444288008173317, 'DER': 0.14071404448076089, 'threshold': 0.5, 'precision': 0.9005166949293906, 'recall': 0.9155571199182513, 'F-score': 0.9079746262593812, 'MCC': 0.7212080722689472}
epoch: 3, lr: 9.82e-01 - train loss: 2.69e-01 - valid loss: 3.50e-01, valid summary: {'TP': 625544.0, 'TN': 194604.0, 'FP': 129317.0, 'FN': 16535.0, 'FAR': 0.3992238848361051, 'FRR': 0.025752282818780465, 'DER': 0.17783619541838572, 'threshold': 0.5, 'precision': 0.8286876656761863, 'recall': 0.974247717181204, 'F-score': 0.8955917934914885, 'MCC': 0.6568737483299946}
epoch: 4, lr: 9.73e-01 - train loss: 2.62e-01 - valid loss: 3.12e-01, valid summary: {'TP': 581859.0, 'TN': 275276.0, 'FP': 48645.0, 'FN': 60220.0, 'FAR': 0.15017550575602848, 'FRR': 0.09378908202884545, 'DER': 0.12701033092803202, 'threshold': 0.5, 'precision': 0.9228474363366304, 'recall': 0.906210917971139, 'F-score': 0.9144535169808178, 'MCC': 0.7496668845492649}
epoch: 5, lr: 9.64e-01 - train loss: 2.57e-01 - valid loss: 3.08e-01, valid summary: {'TP': 583309.0, 'TN': 275224.0, 'FP': 48697.0, 'FN': 58770.0, 'FAR': 0.15033603872548706, 'FRR': 0.09153079293980816, 'DER': 0.12517515343032679, 'threshold': 0.5, 'precision': 0.9229485163115394, 'recall': 0.9084692070601762, 'F-score': 0.9156516244991504, 'MCC': 0.7525395849037155}
epoch: 6, lr: 9.55e-01 - train loss: 2.55e-01 - valid loss: 3.04e-01, valid summary: {'TP': 612711.0, 'TN': 243321.0, 'FP': 80600.0, 'FN': 29368.0, 'FAR': 0.24882610266082628, 'FRR': 0.045738919977136056, 'DER': 0.1284624873836477, 'threshold': 0.5, 'precision': 0.8837462552880182, 'recall': 0.9542610800228484, 'F-score': 0.917651023296565, 'MCC': 0.739899816472912}
epoch: 7, lr: 9.45e-01 - train loss: 2.52e-01 - valid loss: 3.16e-01, valid summary: {'TP': 574090.0, 'TN': 283062.0, 'FP': 40859.0, 'FN': 67989.0, 'FAR': 0.12613878075209306, 'FRR': 0.10588883922383217, 'DER': 0.12698797879489138, 'threshold': 0.5, 'precision': 0.9335570917262905, 'recall': 0.8941111607761523, 'F-score': 0.9134084523176891, 'MCC': 0.7537975632325753}
epoch: 8, lr: 9.36e-01 - train loss: 2.48e-01 - valid loss: 2.95e-01, valid summary: {'TP': 592222.0, 'TN': 273557.0, 'FP': 50364.0, 'FN': 49857.0, 'FAR': 0.15548235526563095, 'FRR': 0.07764932352560856, 'DER': 0.11575817847279599, 'threshold': 0.5, 'precision': 0.9216229422987596, 'recall': 0.9223506764743759, 'F-score': 0.9219866657844652, 'MCC': 0.7671663503081106}
epoch: 9, lr: 9.27e-01 - train loss: 2.47e-01 - valid loss: 2.98e-01, valid summary: {'TP': 594091.0, 'TN': 273076.0, 'FP': 50845.0, 'FN': 47988.0, 'FAR': 0.15696728523312298, 'FRR': 0.07473846676187705, 'DER': 0.11397227984920881, 'threshold': 0.5, 'precision': 0.9211627200218173, 'recall': 0.9252615332381073, 'F-score': 0.9232075772232647, 'MCC': 0.7699938405638685}
epoch: 10, lr: 9.18e-01 - train loss: 2.46e-01 - valid loss: 3.02e-01, valid summary: {'TP': 592665.0, 'TN': 274055.0, 'FP': 49866.0, 'FN': 49414.0, 'FAR': 0.15394494336581593, 'FRR': 0.0769593772728889, 'DER': 0.1145467971201759, 'threshold': 0.5, 'precision': 0.9223912931827271, 'recall': 0.9230406227270955, 'F-score': 0.9227158437191054, 'MCC': 0.7693620867406358}
epoch: 11, lr: 9.09e-01 - train loss: 2.44e-01 - valid loss: 3.01e-01, valid summary: {'TP': 616234.0, 'TN': 242426.0, 'FP': 81495.0, 'FN': 25845.0, 'FAR': 0.2515891220390079, 'FRR': 0.04025205621115096, 'DER': 0.12500873453986297, 'threshold': 0.5, 'precision': 0.883199637681666, 'recall': 0.9597479437888334, 'F-score': 0.9198840430867706, 'MCC': 0.7464731717400171}
