ID,duration,wav,wav_format,wav_opts
noise-free-sound-0000_0,17.65875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0000.wav,wav,
noise-free-sound-0001_1,40.5365,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0001.wav,wav,
noise-free-sound-0002_2,71.2175,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0002.wav,wav,
noise-free-sound-0003_3,14.2358125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0003.wav,wav,
noise-free-sound-0004_4,2.9865,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0004.wav,wav,
noise-free-sound-0005_5,21.1853125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0005.wav,wav,
noise-free-sound-0006_6,7.7701875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0006.wav,wav,
noise-free-sound-0007_7,16.613875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0007.wav,wav,
noise-free-sound-0008_8,20.8050625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0008.wav,wav,
noise-free-sound-0009_9,8.3866875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0009.wav,wav,
noise-free-sound-0010_10,8.2415625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0010.wav,wav,
noise-free-sound-0011_11,34.8501875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0011.wav,wav,
noise-free-sound-0012_12,32.15625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0012.wav,wav,
noise-free-sound-0013_13,1.5445,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0013.wav,wav,
noise-free-sound-0014_14,3.4159375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0014.wav,wav,
noise-free-sound-0015_15,91.244875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0015.wav,wav,
noise-free-sound-0016_16,4.0,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0016.wav,wav,
noise-free-sound-0017_17,7.8773125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0017.wav,wav,
noise-free-sound-0018_18,14.5763125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0018.wav,wav,
noise-free-sound-0019_19,11.55775,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0019.wav,wav,
noise-free-sound-0020_20,60.18575,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0020.wav,wav,
noise-free-sound-0021_21,18.0453125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0021.wav,wav,
noise-free-sound-0022_22,24.832,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0022.wav,wav,
noise-free-sound-0023_23,11.24,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0023.wav,wav,
noise-free-sound-0024_24,19.7790625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0024.wav,wav,
noise-free-sound-0025_25,2.3466875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0025.wav,wav,
noise-free-sound-0026_26,3.7973125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0026.wav,wav,
noise-free-sound-0027_27,23.04,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0027.wav,wav,
noise-free-sound-0028_28,19.6179375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0028.wav,wav,
noise-free-sound-0029_29,8.90775,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0029.wav,wav,
noise-free-sound-0030_30,73.01225,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0030.wav,wav,
noise-free-sound-0031_31,35.4743125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0031.wav,wav,
noise-free-sound-0032_32,61.42,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0032.wav,wav,
noise-free-sound-0033_33,5.5263125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0033.wav,wav,
noise-free-sound-0034_34,20.689,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0034.wav,wav,
noise-free-sound-0035_35,31.9333125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0035.wav,wav,
noise-free-sound-0036_36,4.57,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0036.wav,wav,
noise-free-sound-0037_37,0.94,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0037.wav,wav,
noise-free-sound-0038_38,0.9133125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0038.wav,wav,
noise-free-sound-0039_39,3.4466875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0039.wav,wav,
noise-free-sound-0040_40,16.73,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0040.wav,wav,
noise-free-sound-0041_41,57.782875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0041.wav,wav,
noise-free-sound-0042_42,319.5559375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0042.wav,wav,
noise-free-sound-0043_43,1.5325,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0043.wav,wav,
noise-free-sound-0044_44,4.5975625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0044.wav,wav,
noise-free-sound-0045_45,4.644,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0045.wav,wav,
noise-free-sound-0046_46,4.62075,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0046.wav,wav,
noise-free-sound-0047_47,5.2966875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0047.wav,wav,
noise-free-sound-0048_48,494.6599375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0048.wav,wav,
noise-free-sound-0049_49,3.4666875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0049.wav,wav,
noise-free-sound-0050_50,4.133125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0050.wav,wav,
noise-free-sound-0051_51,6.52,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0051.wav,wav,
noise-free-sound-0052_52,5.6641875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0052.wav,wav,
noise-free-sound-0053_53,5.2719375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0053.wav,wav,
noise-free-sound-0054_54,10.053375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0054.wav,wav,
noise-free-sound-0055_55,40.09775,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0055.wav,wav,
noise-free-sound-0056_56,9.74275,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0056.wav,wav,
noise-free-sound-0057_57,8.1304375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0057.wav,wav,
noise-free-sound-0058_58,2.0,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0058.wav,wav,
noise-free-sound-0059_59,30.4428125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0059.wav,wav,
noise-free-sound-0060_60,1.044875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0060.wav,wav,
noise-free-sound-0061_61,11.0498125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0061.wav,wav,
noise-free-sound-0062_62,6.0666875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0062.wav,wav,
noise-free-sound-0063_63,6.2666875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0063.wav,wav,
noise-free-sound-0064_64,100.1333125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0064.wav,wav,
noise-free-sound-0065_65,6.9753125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0065.wav,wav,
noise-free-sound-0066_66,60.9436875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0066.wav,wav,
noise-free-sound-0067_67,39.889,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0067.wav,wav,
noise-free-sound-0068_68,20.075,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0068.wav,wav,
noise-free-sound-0069_69,2.5714375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0069.wav,wav,
noise-free-sound-0070_70,17.98025,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0070.wav,wav,
noise-free-sound-0071_71,9.3919375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0071.wav,wav,
noise-free-sound-0072_72,26.6225625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0072.wav,wav,
noise-free-sound-0073_73,124.5685625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0073.wav,wav,
noise-free-sound-0074_74,17.24,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0074.wav,wav,
noise-free-sound-0075_75,20.31125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0075.wav,wav,
noise-free-sound-0076_76,80.0,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0076.wav,wav,
noise-free-sound-0077_77,11.7233125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0077.wav,wav,
noise-free-sound-0078_78,10.370625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0078.wav,wav,
noise-free-sound-0079_79,6.0005625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0079.wav,wav,
noise-free-sound-0080_80,30.374625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0080.wav,wav,
noise-free-sound-0081_81,21.5824375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0081.wav,wav,
noise-free-sound-0082_82,20.20375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0082.wav,wav,
noise-free-sound-0083_83,0.59125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0083.wav,wav,
noise-free-sound-0084_84,19.4194375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0084.wav,wav,
noise-free-sound-0085_85,4.671375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0085.wav,wav,
noise-free-sound-0086_86,51.685,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0086.wav,wav,
noise-free-sound-0087_87,2.8,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0087.wav,wav,
noise-free-sound-0088_88,44.8666875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0088.wav,wav,
noise-free-sound-0089_89,13.871,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0089.wav,wav,
noise-free-sound-0090_90,5.8441875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0090.wav,wav,
noise-free-sound-0091_91,5.062125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0091.wav,wav,
noise-free-sound-0092_92,15.079625,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0092.wav,wav,
noise-free-sound-0093_93,5.317375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0093.wav,wav,
noise-free-sound-0094_94,5.5898125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0094.wav,wav,
noise-free-sound-0095_95,4.068375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0095.wav,wav,
noise-free-sound-0096_96,7.7841875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0096.wav,wav,
noise-free-sound-0097_97,2.7369375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0097.wav,wav,
noise-free-sound-0098_98,2.766,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0098.wav,wav,
noise-free-sound-0099_99,7.4946875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0099.wav,wav,
noise-free-sound-0100_100,7.323125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0100.wav,wav,
noise-free-sound-0101_101,112.90125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0101.wav,wav,
noise-free-sound-0102_102,143.62125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0102.wav,wav,
noise-free-sound-0103_103,5.2381875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0103.wav,wav,
noise-free-sound-0104_104,15.888,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0104.wav,wav,
noise-free-sound-0105_105,306.4163125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0105.wav,wav,
noise-free-sound-0106_106,153.952,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0106.wav,wav,
noise-free-sound-0107_107,11.766,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0107.wav,wav,
noise-free-sound-0108_108,19.3963125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0108.wav,wav,
noise-free-sound-0109_109,37.101875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0109.wav,wav,
noise-free-sound-0110_110,40.8931875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0110.wav,wav,
noise-free-sound-0111_111,16.4451875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0111.wav,wav,
noise-free-sound-0112_112,1.0144375,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0112.wav,wav,
noise-free-sound-0113_113,5.8461875,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0113.wav,wav,
noise-free-sound-0114_114,99.9298125,/home/xiao.luo/voice_data/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0114.wav,wav,
