epoch: 1, lr: 1.00e+00 - train loss: 4.68e-01 - valid loss: 3.36e-01, valid summary: {'TP': 618210.0, 'TN': 217579.0, 'FP': 106342.0, 'FN': 23869.0, 'FAR': 0.32829609688781125, 'FRR': 0.037174553287055996, 'DER': 0.1557941059286476, 'threshold': 0.5, 'precision': 0.8532306859963004, 'recall': 0.9628254467129284, 'F-score': 0.9047211719915618, 'MCC': 0.6918611019773581}
epoch: 2, lr: 9.91e-01 - train loss: 3.47e-01 - valid loss: 3.38e-01, valid summary: {'TP': 587441.0, 'TN': 262564.0, 'FP': 61357.0, 'FN': 54638.0, 'FAR': 0.1894196424436764, 'FRR': 0.0850954477564274, 'DER': 0.13646390315350926, 'threshold': 0.5, 'precision': 0.9054297331372645, 'recall': 0.914904552243557, 'F-score': 0.9101424845279604, 'MCC': 0.7293222431407593}
epoch: 3, lr: 9.82e-01 - train loss: 3.32e-01 - valid loss: 3.70e-01, valid summary: {'TP': 614627.0, 'TN': 226862.0, 'FP': 97059.0, 'FN': 27452.0, 'FAR': 0.299637874666962, 'FRR': 0.04275486349810471, 'DER': 0.14796509520623385, 'threshold': 0.5, 'precision': 0.8636210351194085, 'recall': 0.9572451365018797, 'F-score': 0.9080261345211318, 'MCC': 0.7049381913723783}
epoch: 4, lr: 9.73e-01 - train loss: 3.22e-01 - valid loss: 4.16e-01, valid summary: {'TP': 621850.0, 'TN': 207857.0, 'FP': 116064.0, 'FN': 20229.0, 'FAR': 0.35830958783158984, 'FRR': 0.031505468953196857, 'DER': 0.1642664217609329, 'threshold': 0.5, 'precision': 0.8427133785237731, 'recall': 0.9684945310467875, 'F-score': 0.9012364555472383, 'MCC': 0.6783019766514737}
epoch: 5, lr: 9.64e-01 - train loss: 3.15e-01 - valid loss: 3.54e-01, valid summary: {'TP': 584522.0, 'TN': 267337.0, 'FP': 56584.0, 'FN': 57557.0, 'FAR': 0.17468456815087088, 'FRR': 0.08964161730877214, 'DER': 0.13399048434071678, 'threshold': 0.5, 'precision': 0.9117400242705432, 'recall': 0.9103583826912123, 'F-score': 0.9110486796525832, 'MCC': 0.7351285965071077}
epoch: 6, lr: 9.55e-01 - train loss: 3.12e-01 - valid loss: 3.70e-01, valid summary: {'TP': 613713.0, 'TN': 232871.0, 'FP': 91050.0, 'FN': 28366.0, 'FAR': 0.2810870551770252, 'FRR': 0.044178364344573735, 'DER': 0.1410562921104091, 'threshold': 0.5, 'precision': 0.8708076332043414, 'recall': 0.9558216356554107, 'F-score': 0.9113362963138958, 'MCC': 0.7171464651827449}
epoch: 7, lr: 9.45e-01 - train loss: 3.07e-01 - valid loss: 3.57e-01, valid summary: {'TP': 584890.0, 'TN': 266067.0, 'FP': 57854.0, 'FN': 57189.0, 'FAR': 0.17860527721264818, 'FRR': 0.08906847911238198, 'DER': 0.13519249503793804, 'threshold': 0.5, 'precision': 0.9099890469611399, 'recall': 0.9109315208876024, 'F-score': 0.9104600400210768, 'MCC': 0.7326997952013475}
epoch: 8, lr: 9.36e-01 - train loss: 3.03e-01 - valid loss: 3.66e-01, valid summary: {'TP': 610419.0, 'TN': 239047.0, 'FP': 84874.0, 'FN': 31660.0, 'FAR': 0.26202067788132716, 'FRR': 0.049308574178566045, 'DER': 0.13718500799325534, 'threshold': 0.5, 'precision': 0.8779305990424054, 'recall': 0.9506914258214184, 'F-score': 0.9128634366503859, 'MCC': 0.7239219581831654}
epoch: 9, lr: 9.27e-01 - train loss: 3.01e-01 - valid loss: 4.05e-01, valid summary: {'TP': 619808.0, 'TN': 213049.0, 'FP': 110872.0, 'FN': 22271.0, 'FAR': 0.3422809882656468, 'FRR': 0.034685762966861794, 'DER': 0.15986297767803884, 'threshold': 0.5, 'precision': 0.8482618930311374, 'recall': 0.9653142370331226, 'F-score': 0.9030106522703548, 'MCC': 0.6852230745049037}
epoch: 10, lr: 9.18e-01 - train loss: 3.00e-01 - valid loss: 3.51e-01, valid summary: {'TP': 599663.0, 'TN': 256406.0, 'FP': 67515.0, 'FN': 42416.0, 'FAR': 0.20843045063456186, 'FRR': 0.0660604068969696, 'DER': 0.12841371431508292, 'threshold': 0.5, 'precision': 0.8988051164756496, 'recall': 0.9339395931030148, 'F-score': 0.9160355835408938, 'MCC': 0.7410193217624721}
epoch: 11, lr: 9.09e-01 - train loss: 2.97e-01 - valid loss: 3.69e-01, valid summary: {'TP': 612963.0, 'TN': 234963.0, 'FP': 88958.0, 'FN': 29116.0, 'FAR': 0.27462869032880627, 'FRR': 0.045346444907868884, 'DER': 0.13925035911152459, 'threshold': 0.5, 'precision': 0.8732649400715911, 'recall': 0.9546535550921155, 'F-score': 0.9121473214285715, 'MCC': 0.7203234057949804}
epoch: 12, lr: 9.00e-01 - train loss: 2.94e-01 - valid loss: 3.61e-01, valid summary: {'TP': 608895.0, 'TN': 243251.0, 'FP': 80670.0, 'FN': 33184.0, 'FAR': 0.24904220473509747, 'FRR': 0.05168211388318179, 'DER': 0.1336085600354853, 'threshold': 0.5, 'precision': 0.8830132039764071, 'recall': 0.9483178861168026, 'F-score': 0.9145011729861735, 'MCC': 0.7304291400199697}
epoch: 13, lr: 8.91e-01 - train loss: 2.92e-01 - valid loss: 3.46e-01, valid summary: {'TP': 589070.0, 'TN': 268051.0, 'FP': 55870.0, 'FN': 53009.0, 'FAR': 0.17248032699330476, 'FRR': 0.08255837677295033, 'DER': 0.12702873923284896, 'threshold': 0.5, 'precision': 0.9133717865227632, 'recall': 0.917441623227034, 'F-score': 0.9154021813197785, 'MCC': 0.7466116080728029}
epoch: 14, lr: 8.82e-01 - train loss: 2.90e-01 - valid loss: 3.45e-01, valid summary: {'TP': 599266.0, 'TN': 259831.0, 'FP': 64090.0, 'FN': 42813.0, 'FAR': 0.19785688485772154, 'FRR': 0.06667871087514049, 'DER': 0.12443647224934874, 'threshold': 0.5, 'precision': 0.9033852109576019, 'recall': 0.9333212891248439, 'F-score': 0.9181092892407512, 'MCC': 0.7485763090216165}
epoch: 15, lr: 8.73e-01 - train loss: 2.89e-01 - valid loss: 3.48e-01, valid summary: {'TP': 594445.0, 'TN': 263434.0, 'FP': 60487.0, 'FN': 47634.0, 'FAR': 0.1867338023777345, 'FRR': 0.07418713273600173, 'DER': 0.1260329253892434, 'threshold': 0.5, 'precision': 0.9076438469947886, 'recall': 0.9258128672639827, 'F-score': 0.9166383322886236, 'MCC': 0.7467563291180324}
epoch: 16, lr: 8.64e-01 - train loss: 2.87e-01 - valid loss: 3.46e-01, valid summary: {'TP': 591290.0, 'TN': 268605.0, 'FP': 55316.0, 'FN': 50789.0, 'FAR': 0.1707700334340728, 'FRR': 0.07910085830559667, 'DER': 0.12339297239779132, 'threshold': 0.5, 'precision': 0.9144517681555551, 'recall': 0.9208991416943877, 'F-score': 0.9176641304896076, 'MCC': 0.7527773819462098}
epoch: 17, lr: 8.55e-01 - train loss: 2.86e-01 - valid loss: 3.50e-01, valid summary: {'TP': 603220.0, 'TN': 253771.0, 'FP': 70150.0, 'FN': 38859.0, 'FAR': 0.21656515014462735, 'FRR': 0.06052059014544845, 'DER': 0.12719970221390742, 'threshold': 0.5, 'precision': 0.8958225047150764, 'recall': 0.9394794098545359, 'F-score': 0.9171317170030917, 'MCC': 0.7427014488556526}
epoch: 18, lr: 8.45e-01 - train loss: 2.84e-01 - valid loss: 3.48e-01, valid summary: {'TP': 592119.0, 'TN': 266485.0, 'FP': 57436.0, 'FN': 49960.0, 'FAR': 0.17731483911200022, 'FRR': 0.07780973992296776, 'DER': 0.1250821100297678, 'threshold': 0.5, 'precision': 0.911576386911025, 'recall': 0.9221902600770167, 'F-score': 0.9168526068530249, 'MCC': 0.7492734519507347}
